Fecha,Cliente,Operador,Plan tarifario,Direccion,Tipo de llamada,Estado,Numero de llamadas,Duracion total (s),Duracion con espera (s),Espera total (s),Duracion por llamada (s),Espera por llamada (s)
2019-08-04,166377,,B,Entrante,Externa,Perdida,2,0,4,4,0.0,2.0
2019-08-05,166377,880022,B,Saliente,Interna,Perdida,3,0,5,5,0.0,1.67
2019-08-05,166377,880020,B,Saliente,Interna,Perdida,1,0,1,1,0.0,1.0
2019-08-05,166377,880020,B,Saliente,Interna,Contestada,1,10,18,8,10.0,8.0
2019-08-05,166377,880022,B,Saliente,Externa,Perdida,3,0,25,25,0.0,8.33
2019-08-05,166377,880020,B,Saliente,Externa,Contestada,2,3,29,26,1.5,13.0
2019-08-05,166377,880020,B,Saliente,Externa,Perdida,8,0,50,50,0.0,6.25
2019-08-05,166377,,B,Entrante,Externa,Perdida,6,0,35,35,0.0,5.83
2019-08-06,166377,,B,Entrante,Externa,Perdida,4,0,62,62,0.0,15.5
2019-08-06,166377,881278,B,Saliente,Externa,Perdida,3,0,29,29,0.0,9.67
2019-08-06,166377,880020,B,Saliente,Externa,Perdida,5,0,70,70,0.0,14.0
2019-08-06,166377,881278,B,Saliente,Interna,Perdida,2,0,5,5,0.0,2.5
2019-08-06,166377,880020,B,Saliente,Externa,Contestada,5,800,819,19,160.0,3.8
2019-08-07,166377,880028,B,Saliente,Externa,Perdida,1,0,15,15,0.0,15.0
2019-08-07,166377,880026,B,Saliente,Externa,Contestada,1,21,28,7,21.0,7.0
2019-08-07,166377,880020,B,Saliente,Externa,Contestada,2,232,240,8,116.0,4.0
2019-08-07,166377,,B,Entrante,Externa,Perdida,2,0,24,24,0.0,12.0
2019-08-07,166377,880026,B,Saliente,Externa,Perdida,1,0,17,17,0.0,17.0
2019-08-08,166377,880022,B,Saliente,Externa,Contestada,2,558,568,10,279.0,5.0
2019-08-08,166377,880022,B,Saliente,Externa,Perdida,4,0,28,28,0.0,7.0
2019-08-09,166377,880028,B,Saliente,Externa,Contestada,17,1603,1725,122,94.29,7.18
2019-08-09,166377,880028,B,Saliente,Externa,Perdida,2,0,2,2,0.0,1.0
2019-08-09,166377,880022,B,Saliente,Externa,Perdida,2,0,10,10,0.0,5.0
2019-08-12,166377,880028,B,Saliente,Externa,Contestada,20,2074,2191,117,103.7,5.85
2019-08-12,166377,880028,B,Saliente,Interna,Perdida,1,0,26,26,0.0,26.0
2019-08-12,166377,880028,B,Entrante,Externa,Contestada,1,407,411,4,407.0,4.0
2019-08-12,166377,,B,Entrante,Externa,Perdida,2,0,34,34,0.0,17.0
2019-08-13,166377,880026,B,Saliente,Interna,Perdida,2,0,23,23,0.0,11.5
2019-08-13,166377,,B,Entrante,Externa,Perdida,7,0,128,128,0.0,18.29
2019-08-13,166377,880026,B,Saliente,Externa,Contestada,4,258,287,29,64.5,7.25
2019-08-13,166377,880028,B,Saliente,Interna,Perdida,1,0,16,16,0.0,16.0
2019-08-13,166377,880028,B,Saliente,Externa,Contestada,10,647,788,141,64.7,14.1
2019-08-13,166377,880028,B,Entrante,Externa,Contestada,1,88,102,14,88.0,14.0
2019-08-13,166377,880028,B,Saliente,Externa,Perdida,1,0,60,60,0.0,60.0
2019-08-14,166377,880028,B,Saliente,Externa,Perdida,7,0,105,105,0.0,15.0
2019-08-14,166377,880026,B,Entrante,Externa,Contestada,2,197,218,21,98.5,10.5
2019-08-14,166377,,B,Entrante,Externa,Perdida,1,0,3,3,0.0,3.0
2019-08-14,166377,880028,B,Entrante,Externa,Contestada,1,33,37,4,33.0,4.0
2019-08-14,166377,880026,B,Saliente,Interna,Perdida,2,0,0,0,0.0,0.0
2019-08-14,166377,880028,B,Saliente,Externa,Contestada,18,2686,2782,96,149.22,5.33
2019-08-14,166377,880026,B,Saliente,Externa,Perdida,7,0,38,38,0.0,5.43
2019-08-14,166377,880026,B,Saliente,Externa,Contestada,10,1567,1654,87,156.7,8.7
2019-08-15,166377,880026,B,Saliente,Externa,Contestada,11,1413,1473,60,128.45,5.45
2019-08-15,166377,880028,B,Saliente,Externa,Perdida,8,0,458,458,0.0,57.25
2019-08-15,166377,880028,B,Saliente,Externa,Contestada,19,2653,2779,126,139.63,6.63
2019-08-15,166377,880028,B,Entrante,Externa,Contestada,1,23,27,4,23.0,4.0
2019-08-15,166377,880026,B,Saliente,Externa,Perdida,15,0,330,330,0.0,22.0
2019-08-16,166377,880026,B,Saliente,Externa,Perdida,6,0,249,249,0.0,41.5
2019-08-16,166377,880026,B,Saliente,Externa,Contestada,15,1658,1714,56,110.53,3.73
2019-08-16,166377,880028,B,Saliente,Externa,Perdida,4,0,29,29,0.0,7.25
2019-08-16,166377,880028,B,Saliente,Externa,Contestada,15,1574,1674,100,104.93,6.67
2019-08-16,166377,880026,B,Saliente,Interna,Perdida,3,0,2,2,0.0,0.67
2019-08-19,166377,880026,B,Saliente,Externa,Perdida,13,0,142,142,0.0,10.92
2019-08-19,166377,880026,B,Saliente,Externa,Contestada,14,1519,1598,79,108.5,5.64
2019-08-19,166377,880028,B,Saliente,Externa,Perdida,5,0,170,170,0.0,34.0
2019-08-19,166377,880028,B,Entrante,Externa,Contestada,1,21,39,18,21.0,18.0
2019-08-19,166377,880028,B,Saliente,Externa,Contestada,8,904,1033,129,113.0,16.12
2019-08-20,166377,880028,B,Saliente,Externa,Contestada,32,2975,3243,268,92.97,8.38
2019-08-20,166377,880026,B,Saliente,Externa,Contestada,19,2568,2758,190,135.16,10.0
2019-08-20,166377,880028,B,Saliente,Externa,Perdida,13,0,572,572,0.0,44.0
2019-08-20,166377,880028,B,Entrante,Externa,Contestada,1,30,33,3,30.0,3.0
2019-08-20,166377,880026,B,Saliente,Externa,Perdida,9,0,53,53,0.0,5.89
2019-08-21,166377,880026,B,Saliente,Externa,Perdida,8,0,174,174,0.0,21.75
2019-08-21,166377,880028,B,Saliente,Externa,Perdida,22,0,717,717,0.0,32.59
2019-08-21,166377,880028,B,Saliente,Externa,Contestada,19,3496,3613,117,184.0,6.16
2019-08-21,166377,880026,B,Saliente,Externa,Contestada,23,2692,2844,152,117.04,6.61
2019-08-22,166377,880026,B,Saliente,Externa,Perdida,6,0,55,55,0.0,9.17
2019-08-22,166377,880026,B,Saliente,Externa,Contestada,23,2979,3062,83,129.52,3.61
2019-08-22,166377,880028,B,Saliente,Externa,Perdida,18,0,710,710,0.0,39.44
2019-08-22,166377,880028,B,Saliente,Externa,Contestada,15,1866,1992,126,124.4,8.4
2019-08-22,166377,880020,B,Entrante,Externa,Contestada,1,33,49,16,33.0,16.0
2019-08-22,166377,,B,Entrante,Externa,Perdida,1,0,1,1,0.0,1.0
2019-08-23,166377,880026,B,Entrante,Externa,Contestada,1,45,52,7,45.0,7.0
2019-08-23,166377,880026,B,Saliente,Externa,Perdida,11,0,54,54,0.0,4.91
2019-08-23,166377,,B,Entrante,Externa,Perdida,2,0,47,47,0.0,23.5
2019-08-23,166377,880028,B,Entrante,Externa,Contestada,1,41,54,13,41.0,13.0
2019-08-23,166377,880028,B,Saliente,Externa,Contestada,24,2242,2413,171,93.42,7.12
2019-08-23,166377,880026,B,Saliente,Externa,Contestada,43,3435,3654,219,79.88,5.09
2019-08-23,166377,880028,B,Saliente,Externa,Perdida,24,0,597,597,0.0,24.88
2019-08-24,166377,,B,Entrante,Externa,Perdida,2,0,35,35,0.0,17.5
2019-08-26,166377,880022,B,Saliente,Interna,Perdida,3,0,0,0,0.0,0.0
2019-08-26,166377,880028,B,Entrante,Externa,Contestada,2,285,302,17,142.5,8.5
2019-08-26,166377,880026,B,Saliente,Externa,Contestada,28,3298,3395,97,117.79,3.46
2019-08-26,166377,880028,B,Saliente,Externa,Perdida,4,0,241,241,0.0,60.25
2019-08-26,166377,880022,B,Saliente,Externa,Contestada,3,1079,1093,14,359.67,4.67
2019-08-26,166377,880028,B,Saliente,Externa,Contestada,5,426,487,61,85.2,12.2
2019-08-26,166377,880026,B,Saliente,Externa,Perdida,2,0,46,46,0.0,23.0
2019-08-27,166377,880026,B,Saliente,Externa,Contestada,22,3242,3329,87,147.36,3.95
2019-08-27,166377,880026,B,Saliente,Externa,Perdida,5,0,119,119,0.0,23.8
2019-08-27,166377,880028,B,Saliente,Externa,Perdida,27,0,983,983,0.0,36.41
2019-08-27,166377,880028,B,Saliente,Externa,Contestada,20,2784,2979,195,139.2,9.75
2019-08-28,166377,880026,B,Saliente,Externa,Perdida,11,0,129,129,0.0,11.73
2019-08-28,166377,880026,B,Saliente,Externa,Contestada,16,1783,1868,85,111.44,5.31
2019-08-28,166377,880028,B,Saliente,Externa,Contestada,19,1485,1777,292,78.16,15.37
2019-08-28,166377,880028,B,Saliente,Externa,Perdida,29,0,993,993,0.0,34.24
2019-08-29,166377,880026,B,Saliente,Externa,Contestada,22,3244,3396,152,147.45,6.91
2019-08-29,166377,880026,B,Entrante,Externa,Contestada,1,48,52,4,48.0,4.0
2019-08-29,166377,880028,B,Saliente,Externa,Perdida,16,0,662,662,0.0,41.38
2019-08-29,166377,880026,B,Saliente,Externa,Perdida,23,0,321,321,0.0,13.96
2019-08-29,166377,,B,Entrante,Externa,Perdida,2,0,60,60,0.0,30.0
2019-08-29,166377,880028,B,Saliente,Externa,Contestada,25,2323,2595,272,92.92,10.88
2019-08-30,166377,880028,B,Saliente,Externa,Perdida,8,0,384,384,0.0,48.0
2019-08-30,166377,880026,B,Saliente,Externa,Contestada,24,1653,1864,211,68.88,8.79
2019-08-30,166377,880028,B,Entrante,Externa,Contestada,1,45,65,20,45.0,20.0
2019-08-30,166377,880022,B,Saliente,Externa,Contestada,1,239,257,18,239.0,18.0
2019-08-30,166377,880028,B,Saliente,Externa,Contestada,14,989,1099,110,70.64,7.86
2019-08-30,166377,880026,B,Saliente,Externa,Perdida,11,0,292,292,0.0,26.55
2019-09-02,166377,880028,B,Entrante,Externa,Contestada,2,66,75,9,33.0,4.5
2019-09-02,166377,880026,B,Entrante,Externa,Contestada,1,31,34,3,31.0,3.0
2019-09-02,166377,880026,B,Saliente,Externa,Contestada,16,1853,1983,130,115.81,8.12
2019-09-02,166377,880026,B,Saliente,Externa,Perdida,6,0,168,168,0.0,28.0
2019-09-02,166377,880028,B,Saliente,Externa,Contestada,20,2529,2687,158,126.45,7.9
2019-09-02,166377,880028,B,Saliente,Externa,Perdida,29,0,1345,1345,0.0,46.38
2019-09-02,166377,880020,B,Saliente,Interna,Perdida,2,0,0,0,0.0,0.0
2019-09-02,166377,880020,B,Saliente,Externa,Perdida,2,0,3,3,0.0,1.5
2019-09-03,166377,880028,B,Saliente,Externa,Contestada,17,1573,1733,160,92.53,9.41
2019-09-03,166377,,B,Entrante,Externa,Perdida,1,0,20,20,0.0,20.0
2019-09-03,166377,880026,B,Saliente,Externa,Contestada,23,2054,2198,144,89.3,6.26
2019-09-03,166377,880028,B,Saliente,Externa,Perdida,18,0,416,416,0.0,23.11
2019-09-03,166377,880026,B,Saliente,Externa,Perdida,8,0,248,248,0.0,31.0
2019-09-04,166377,880022,B,Saliente,Interna,Perdida,1,0,2,2,0.0,2.0
2019-09-04,166377,880026,B,Saliente,Externa,Perdida,7,0,164,164,0.0,23.43
2019-09-04,166377,,B,Entrante,Externa,Perdida,1,0,19,19,0.0,19.0
2019-09-04,166377,880022,B,Saliente,Externa,Contestada,3,360,395,35,120.0,11.67
2019-09-04,166377,880022,B,Saliente,Externa,Perdida,1,0,55,55,0.0,55.0
2019-09-04,166377,880028,B,Saliente,Interna,Perdida,1,0,1,1,0.0,1.0
2019-09-04,166377,880026,B,Saliente,Externa,Contestada,27,2176,2393,217,80.59,8.04
2019-09-04,166377,880028,B,Entrante,Externa,Contestada,1,195,208,13,195.0,13.0
2019-09-04,166377,880028,B,Saliente,Externa,Contestada,15,2539,2613,74,169.27,4.93
2019-09-04,166377,880028,B,Saliente,Externa,Perdida,19,0,230,230,0.0,12.11
2019-09-05,166377,880026,B,Saliente,Externa,Perdida,6,0,242,242,0.0,40.33
2019-09-05,166377,880026,B,Saliente,Externa,Contestada,21,2748,2928,180,130.86,8.57
2019-09-05,166377,880020,B,Entrante,Externa,Contestada,1,63,70,7,63.0,7.0
2019-09-05,166377,880028,B,Saliente,Externa,Contestada,8,983,1010,27,122.88,3.38
2019-09-05,166377,,B,Entrante,Externa,Perdida,2,0,23,23,0.0,11.5
2019-09-05,166377,880028,B,Saliente,Externa,Perdida,9,0,247,247,0.0,27.44
2019-09-05,166377,880026,B,Entrante,Externa,Contestada,1,63,65,2,63.0,2.0
2019-09-05,166377,880022,B,Saliente,Interna,Perdida,2,0,0,0,0.0,0.0
2019-09-05,166377,880022,B,Saliente,Externa,Contestada,6,746,760,14,124.33,2.33
2019-09-06,166377,880022,B,Saliente,Interna,Perdida,2,0,0,0,0.0,0.0
2019-09-06,166377,880022,B,Saliente,Externa,Contestada,5,1243,1265,22,248.6,4.4
2019-09-06,166377,880028,B,Saliente,Externa,Perdida,9,0,392,392,0.0,43.56
2019-09-06,166377,880028,B,Saliente,Externa,Contestada,13,1304,1441,137,100.31,10.54
2019-09-06,166377,880026,B,Saliente,Interna,Perdida,1,0,3,3,0.0,3.0
2019-09-06,166377,880020,B,Entrante,Externa,Contestada,1,48,56,8,48.0,8.0
2019-09-06,166377,880022,B,Saliente,Externa,Perdida,4,0,112,112,0.0,28.0
2019-09-06,166377,880026,B,Saliente,Externa,Contestada,14,1045,1127,82,74.64,5.86
2019-09-09,166377,880026,B,Saliente,Externa,Perdida,5,0,114,114,0.0,22.8
2019-09-09,166377,880028,B,Saliente,Externa,Perdida,9,0,316,316,0.0,35.11
2019-09-09,166377,880022,B,Saliente,Externa,Contestada,4,234,302,68,58.5,17.0
2019-09-09,166377,880026,B,Saliente,Externa,Contestada,16,1479,1616,137,92.44,8.56
2019-09-09,166377,880022,B,Saliente,Externa,Perdida,5,0,192,192,0.0,38.4
2019-09-09,166377,880020,B,Entrante,Externa,Contestada,1,54,58,4,54.0,4.0
2019-09-09,166377,,B,Entrante,Externa,Perdida,1,0,29,29,0.0,29.0
2019-09-09,166377,880026,B,Entrante,Externa,Contestada,1,32,40,8,32.0,8.0
2019-09-09,166377,880028,B,Saliente,Externa,Contestada,18,1601,1806,205,88.94,11.39
2019-09-10,166377,,B,Entrante,Externa,Perdida,1,0,26,26,0.0,26.0
2019-09-10,166377,880028,B,Saliente,Externa,Perdida,19,0,552,552,0.0,29.05
2019-09-10,166377,880022,B,Saliente,Externa,Perdida,1,0,54,54,0.0,54.0
2019-09-10,166377,880028,B,Saliente,Externa,Contestada,29,2082,2256,174,71.79,6.0
2019-09-10,166377,880026,B,Saliente,Externa,Contestada,32,2451,2620,169,76.59,5.28
